id,column_1,column_2,column_3,column_4,column_5
85,B,category_8,93,C',2020-03-26
86,B,category_5,88,B',2022-12-16
87,B,category_4,47,A',2021-07-04
88,B,category_7,40,B',2020-09-07
89,C,category_4,99,C',2021-05-07
90,A,category_7,80,B',2022-01-19
91,B,category_7,56,A',2023-12-14
92,C,category_8,22,C',2022-07-26
93,A,category_1,41,B',2020-05-24
94,D,category_4,68,B',2020-12-18
95,B,category_6,47,A',2022-04-03
96,C,category_2,47,A',2021-04-08
97,D,category_5,81,B',2021-12-22
98,B,category_8,52,B',2021-03-06
99,A,category_6,67,A',2020-11-23
100,B,category_6,65,C',2022-07-01
101,C,category_2,16,C',2023-12-20
102,B,category_5,47,B',2021-08-25
103,D,category_6,68,C',2022-05-17
104,A,category_1,51,A',2020-02-13
105,B,category_1,51,C',2020-01-25
106,C,category_3,48,B',2020-03-13
107,C,category_6,99,B',2023-11-06
108,A,category_5,74,B',2022-01-02
109,A,category_2,64,C',2022-01-10
110,D,category_6,13,C',2022-05-20
111,D,category_8,80,A',2022-04-02
112,B,category_5,11,B',2021-05-07
113,B,category_2,33,B',2021-10-21
114,C,category_3,59,A',2022-10-11
115,A,category_9,24,A',2021-04-24
116,D,category_8,18,B',2021-05-24
117,A,category_5,97,B',2021-12-08
118,A,category_9,49,A',2021-11-25
119,B,category_3,82,B',2021-07-14
120,A,category_3,20,C',2023-10-24
121,A,category_9,66,B',2023-09-19
122,B,category_8,95,C',2022-03-27
123,A,category_4,77,B',2020-02-18
124,D,category_3,20,B',2022-11-18
125,C,category_4,21,B',2023-02-22
126,C,category_1,81,A',2021-04-13
127,A,category_3,83,C',2022-08-15
128,A,category_4,57,B',2022-01-03
129,D,category_5,57,C',2020-01-10
130,D,category_5,72,A',2021-06-10
131,B,category_4,35,A',2022-04-04
132,C,category_3,83,A',2021-09-09
133,A,category_1,17,A',2020-01-12
134,D,category_9,28,B',2020-10-21
135,C,category_4,80,C',2023-03-19
136,B,category_7,12,A',2023-03-23
137,B,category_8,74,C',2022-12-17
138,C,category_5,91,B',2022-08-26
139,D,category_6,10,C',2023-08-17
140,D,category_3,4,B',2021-01-14
141,D,category_6,96,A',2022-07-10
142,C,category_9,39,C',2021-03-18
143,D,category_9,26,B',2020-07-08
144,B,category_2,25,B',2022-12-18
145,B,category_4,75,A',2022-10-01
146,C,category_7,9,A',2023-03-14
147,B,category_9,38,C',2020-11-04
148,C,category_9,82,B',2022-07-15
149,A,category_6,14,B',2020-08-04
150,C,category_8,84,B',2021-05-05
151,A,category_1,44,A',2020-02-19
152,D,category_8,61,B',2021-06-06
153,C,category_3,39,B',2021-06-14
154,C,category_8,89,B',2020-12-20
155,D,category_7,10,C',2021-04-21
156,C,category_9,0,A',2023-01-08
157,A,category_6,20,A',2023-07-10
158,C,category_1,73,C',2022-06-21
159,B,category_8,69,A',2020-09-22
160,B,category_6,81,A',2020-05-24
161,D,category_5,56,C',2022-11-07
162,D,category_4,60,B',2022-09-20
163,B,category_3,39,A',2020-06-15
164,A,category_2,86,A',2021-02-26
165,C,category_9,17,C',2023-02-08
166,D,category_5,77,B',2021-04-12
167,A,category_5,36,B',2023-06-06
168,C,category_8,33,A',2022-02-27
169,C,category_4,21,C',2022-11-21
170,B,category_9,44,B',2022-04-27
171,A,category_4,77,B',2021-09-09
172,B,category_3,47,C',2021-07-11
173,C,category_8,3,B',2023-04-23
174,A,category_8,93,C',2021-06-08
175,A,category_6,32,A',2021-03-27
176,D,category_6,10,B',2022-01-01
177,B,category_1,37,C',2020-08-10
178,C,category_5,36,B',2020-11-13
179,A,category_8,4,B',2022-05-15
180,D,category_1,5,B',2023-06-10
181,C,category_7,10,B',2023-03-02
182,C,category_3,49,B',2023-07-12
183,A,category_6,69,C',2022-12-03
184,D,category_5,59,A',2022-06-10
185,D,category_1,1,A',2020-11-12
186,D,category_4,65,C',2020-03-25
187,B,category_8,72,A',2020-12-25
188,A,category_5,8,B',2023-06-10
189,D,category_4,2,A',2023-11-13
190,B,category_1,11,B',2021-08-07
191,A,category_4,67,A',2022-07-26
192,A,category_2,45,C',2022-06-06
193,C,category_6,60,B',2020-09-20
194,B,category_5,75,C',2023-12-05
195,C,category_5,43,A',2020-04-11
196,A,category_8,9,C',2023-12-25
197,B,category_6,79,B',2021-12-15
198,D,category_8,36,A',2022-11-21
199,A,category_6,73,C',2020-12-13
200,D,category_3,63,C',2021-09-06
201,C,category_6,40,C',2023-01-05
202,A,category_8,12,B',2020-12-26
203,A,category_9,11,B',2022-12-19
204,D,category_4,8,A',2022-12-18
205,B,category_9,5,C',2022-08-07
206,B,category_7,87,C',2020-08-18
207,A,category_8,49,C',2022-03-08
208,B,category_7,98,A',2023-08-06
209,D,category_2,0,C',2021-12-22
210,D,category_8,7,C',2020-07-13
211,D,category_4,73,A',2020-01-11
212,B,category_6,97,B',2020-05-12
213,D,category_4,61,B',2023-11-26
214,A,category_4,56,A',2020-08-10
215,A,category_3,33,C',2021-02-22
216,C,category_7,9,A',2020-11-11
217,C,category_9,80,C',2021-04-25
218,A,category_6,5,C',2021-05-06
219,B,category_1,66,A',2021-12-18
220,D,category_2,67,B',2020-03-12
221,C,category_6,26,C',2020-07-19
222,A,category_8,8,B',2023-01-17
223,D,category_4,69,B',2020-04-14
224,C,category_9,31,A',2023-12-01
225,C,category_4,42,A',2020-05-02
226,D,category_4,6,C',2023-04-27
227,C,category_9,65,A',2020-10-02
228,D,category_3,47,A',2022-12-01
229,D,category_2,82,B',2023-10-19
230,B,category_8,18,B',2022-10-23
231,C,category_6,20,C',2022-01-25
232,C,category_3,38,C',2021-11-20
233,C,category_9,76,B',2022-09-17
234,A,category_7,87,C',2022-02-01
235,C,category_8,47,B',2021-03-07
236,A,category_1,59,C',2020-10-02
237,A,category_2,2,C',2022-11-21
238,A,category_7,67,A',2023-05-10
239,A,category_1,88,B',2020-02-21
240,B,category_6,32,A',2021-10-22
241,D,category_6,76,A',2022-12-09
242,B,category_7,95,B',2020-02-03
243,C,category_6,59,B',2020-11-04
244,D,category_8,78,B',2021-08-17
245,D,category_1,12,B',2023-10-15
246,C,category_1,79,B',2022-05-15
247,A,category_8,36,B',2020-02-24
248,A,category_4,7,C',2022-02-07
249,D,category_7,50,C',2021-10-16
250,D,category_5,32,C',2023-08-04
251,C,category_9,85,A',2023-10-18
252,D,category_8,79,B',2020-09-21
253,D,category_6,5,B',2022-12-21
254,C,category_6,9,C',2023-08-20
255,D,category_1,82,C',2021-04-24
256,B,category_8,14,B',2023-12-17
257,A,category_2,30,B',2021-12-24
258,A,category_2,15,B',2022-01-04
259,A,category_6,56,A',2020-09-09
260,B,category_8,87,B',2022-07-11
261,C,category_7,87,A',2021-04-24
262,C,category_6,35,A',2021-07-20
263,B,category_6,81,B',2022-01-13
264,A,category_3,3,A',2021-01-16
265,C,category_7,19,B',2021-12-12
266,A,category_2,49,B',2023-05-09
267,D,category_6,85,A',2022-05-13
268,C,category_1,80,B',2021-04-10
269,A,category_4,8,C',2023-12-10
270,C,category_2,32,A',2021-12-10
271,D,category_3,6,A',2023-11-18
272,A,category_9,3,C',2020-12-09
273,A,category_3,1,B',2023-03-04
274,B,category_4,33,C',2021-04-15
275,C,category_4,23,C',2023-03-25
276,B,category_7,14,C',2022-02-22
277,C,category_1,44,B',2022-09-27
278,C,category_6,22,A',2023-08-13
279,B,category_5,12,B',2022-06-11
280,A,category_5,31,A',2021-05-02
281,D,category_4,89,C',2022-03-07
282,A,category_5,55,B',2021-08-10
283,C,category_6,16,A',2021-09-26
284,B,category_4,80,C',2020-05-10
285,A,category_8,34,C',2021-06-10
286,D,category_6,51,B',2021-06-14
287,A,category_8,16,A',2023-08-11
288,D,category_4,85,C',2020-01-16
289,C,category_9,99,A',2023-05-23
290,C,category_8,80,B',2020-07-10
291,D,category_6,80,C',2020-03-26
292,B,category_4,56,C',2023-01-08
293,C,category_7,88,A',2020-06-13
294,A,category_2,4,A',2022-09-05
295,C,category_4,97,A',2020-12-20
296,C,category_8,62,A',2023-06-04
297,B,category_2,28,B',2022-12-22
298,B,category_9,84,B',2023-05-26
299,A,category_7,71,B',2021-05-05
300,D,category_2,62,A',2022-11-23
301,B,category_3,47,B',2020-02-04
302,D,category_7,97,A',2022-07-18
303,B,category_2,19,B',2023-05-07
304,D,category_9,1,A',2023-06-10
305,A,category_2,28,B',2021-11-24
306,C,category_9,55,B',2021-09-14
307,D,category_6,17,B',2022-02-06
308,D,category_9,78,C',2022-02-14
309,A,category_2,75,A',2022-04-24
310,C,category_6,40,B',2021-09-26
311,C,category_4,11,B',2021-04-13
312,B,category_1,52,A',2023-04-23
313,D,category_4,28,C',2020-02-22
314,A,category_6,68,A',2023-11-26
315,D,category_5,90,C',2023-10-21
316,B,category_3,8,A',2023-08-19
317,A,category_5,87,C',2022-10-02
318,A,category_2,16,C',2021-04-25
319,C,category_5,48,B',2023-04-02
320,D,category_4,64,A',2023-03-15
321,B,category_6,56,A',2020-02-24
322,B,category_8,46,A',2020-10-17
323,B,category_9,18,C',2022-08-09
324,D,category_5,54,A',2021-08-12
325,A,category_8,20,B',2022-04-20
326,A,category_9,71,C',2022-11-02
327,D,category_1,12,B',2023-11-18
328,A,category_3,93,B',2022-06-02
329,C,category_5,78,B',2020-01-27
330,C,category_5,60,C',2021-05-26
331,A,category_4,95,A',2021-12-21
332,C,category_9,34,C',2022-06-11
333,B,category_2,51,C',2023-03-22
334,A,category_2,67,A',2021-08-14
335,B,category_6,87,B',2022-03-09
336,C,category_6,9,B',2023-06-27
337,A,category_1,9,A',2023-12-04
338,C,category_3,26,C',2020-10-21
339,B,category_8,59,B',2020-01-24
340,B,category_6,77,A',2021-01-27
341,B,category_5,97,B',2021-03-11
342,C,category_6,48,B',2022-09-19
343,A,category_5,50,A',2023-01-15
344,B,category_7,4,B',2023-05-13
345,B,category_3,63,B',2021-11-20
346,C,category_2,96,C',2023-07-01
347,D,category_3,19,A',2021-03-16
348,B,category_7,22,C',2020-08-17
349,C,category_7,97,A',2022-02-14
350,A,category_4,76,A',2021-06-05
351,B,category_2,41,B',2021-06-01
352,B,category_3,36,C',2021-01-18
353,A,category_8,38,C',2020-07-22
354,C,category_2,28,C',2020-02-27
355,C,category_7,40,B',2021-09-09
356,D,category_2,3,A',2020-02-11
357,B,category_4,21,A',2022-03-01
358,B,category_3,88,A',2022-10-24
359,B,category_9,17,B',2020-06-06
360,B,category_4,49,B',2021-02-04
361,D,category_2,78,A',2020-03-20
362,B,category_9,12,A',2020-05-06
363,A,category_7,68,A',2020-11-10
364,D,category_7,17,C',2021-04-20
365,D,category_2,16,A',2023-12-19
366,D,category_7,30,A',2021-05-24
367,C,category_9,66,A',2020-06-24
368,C,category_8,0,B',2022-09-01
369,B,category_1,92,A',2021-10-19
370,A,category_3,27,A',2022-04-17
371,D,category_1,66,B',2022-12-14
372,A,category_3,39,C',2022-02-03
373,B,category_2,92,B',2023-07-16
374,B,category_2,73,C',2023-06-19
375,A,category_5,13,B',2020-02-27
376,B,category_6,7,A',2020-04-07
377,D,category_4,65,B',2021-02-07
378,B,category_8,85,C',2020-07-27
379,B,category_8,83,C',2021-06-04
380,B,category_3,18,C',2021-07-11
381,C,category_6,0,A',2020-09-06
382,C,category_9,63,B',2020-10-10
383,C,category_6,44,B',2023-07-03
384,C,category_6,62,C',2022-08-26
385,B,category_1,60,B',2023-04-26
386,B,category_8,35,B',2021-11-23
387,D,category_2,28,B',2021-06-11
388,B,category_8,59,A',2020-09-27
389,D,category_5,33,C',2020-07-24
390,B,category_6,19,C',2022-05-13
391,A,category_8,79,B',2023-02-25
392,D,category_5,91,C',2023-11-03
393,A,category_2,30,A',2021-03-03
394,D,category_8,85,B',2020-01-09
395,B,category_5,39,A',2022-01-04
396,B,category_6,63,A',2020-04-02
397,A,category_5,86,B',2020-08-07
398,B,category_4,47,B',2020-07-06
399,B,category_6,24,C',2023-02-10
400,B,category_5,70,B',2022-01-14
401,D,category_9,84,C',2022-10-14
402,B,category_1,48,B',2023-04-05
403,A,category_5,53,B',2021-09-16
404,D,category_8,54,C',2021-04-24
405,A,category_3,45,B',2023-02-02
406,A,category_8,85,A',2020-11-13
407,D,category_3,78,A',2022-01-26
408,B,category_4,79,A',2023-12-16
409,A,category_3,22,A',2020-03-16
410,A,category_4,39,A',2023-05-06
411,D,category_5,73,B',2021-01-04
412,D,category_7,34,B',2023-11-19
413,A,category_2,47,B',2023-03-09
414,C,category_5,41,A',2023-04-18
415,B,category_3,74,A',2020-05-14
416,B,category_5,48,A',2022-03-08
417,C,category_1,47,C',2023-08-02
418,B,category_1,64,B',2022-07-22
419,B,category_9,77,A',2021-05-02
420,D,category_2,50,B',2021-11-09
421,A,category_5,12,B',2023-01-16
422,A,category_2,7,C',2023-04-11
423,D,category_1,72,A',2022-05-13
424,A,category_6,84,B',2020-04-06
425,A,category_6,97,B',2022-06-09
426,B,category_1,37,C',2023-01-21
427,A,category_6,14,C',2023-05-06
428,D,category_8,56,B',2021-07-27
429,D,category_2,68,B',2022-04-18
430,A,category_5,53,B',2022-12-24
431,D,category_8,23,A',2022-03-23
432,A,category_6,34,A',2023-09-18
433,C,category_9,79,B',2023-06-16
434,D,category_6,28,B',2022-11-05
435,C,category_6,23,A',2022-01-07
436,A,category_9,27,C',2022-08-06
437,B,category_3,42,A',2022-11-27
438,B,category_7,55,B',2022-01-02
439,C,category_5,48,C',2020-08-25
440,D,category_5,87,A',2022-01-22
441,C,category_2,64,B',2022-12-23
442,A,category_2,84,C',2022-09-01
443,C,category_8,53,C',2022-10-05
444,B,category_5,38,A',2022-05-01
445,B,category_7,64,A',2021-06-26
446,B,category_2,7,B',2020-01-04
447,D,category_4,76,A',2023-01-11
448,C,category_8,57,A',2021-07-23
449,A,category_4,1,A',2023-10-04
450,A,category_9,11,A',2020-06-03
451,C,category_6,64,B',2022-02-15
452,B,category_8,80,A',2020-12-21
453,B,category_6,7,B',2023-01-01
454,D,category_4,26,C',2020-09-25
455,D,category_8,28,B',2022-11-02
456,B,category_2,73,B',2021-05-19
457,C,category_9,54,A',2023-03-26
458,C,category_8,18,C',2022-09-23
459,A,category_7,42,A',2021-11-10
460,C,category_2,36,C',2023-03-18
461,D,category_8,68,C',2021-07-12
462,A,category_1,46,B',2023-05-05
463,B,category_6,63,A',2020-05-13
464,A,category_1,65,B',2021-03-19
465,D,category_8,73,C',2023-01-23
466,C,category_6,89,C',2023-10-05
467,C,category_7,30,A',2021-05-05
468,C,category_8,79,A',2022-04-09
469,D,category_3,23,A',2023-05-07
470,D,category_4,76,C',2023-11-21
471,D,category_8,55,C',2020-01-04
472,C,category_3,65,A',2020-06-06
473,B,category_4,32,C',2022-10-06
474,D,category_1,57,A',2020-07-10
475,C,category_7,21,C',2022-09-06
476,B,category_4,98,A',2021-08-18
477,B,category_6,48,B',2020-04-16
478,A,category_7,44,A',2020-02-09
479,A,category_9,47,C',2022-10-19
480,C,category_3,80,C',2021-02-14
481,D,category_6,9,A',2023-02-01
482,B,category_9,82,B',2021-06-19
483,D,category_4,1,A',2021-03-09
484,D,category_4,93,B',2022-05-25
485,C,category_4,22,A',2020-07-17
486,C,category_7,77,B',2023-07-27
487,D,category_1,44,C',2022-08-04
488,B,category_3,93,C',2021-05-12
489,C,category_3,25,A',2022-08-19
490,B,category_7,34,B',2022-09-05
491,C,category_5,61,A',2023-06-08
492,A,category_1,22,A',2023-08-03
493,A,category_5,81,C',2021-05-27
494,A,category_6,4,C',2022-06-04
495,A,category_7,99,A',2022-11-05
496,D,category_9,64,B',2023-06-04
497,C,category_7,15,C',2022-11-12
498,A,category_2,40,A',2023-05-17
499,B,category_5,52,C',2021-09-03
500,D,category_6,77,A',2022-05-26
501,D,category_6,49,B',2020-09-09
502,B,category_9,58,B',2021-03-21
503,D,category_6,58,B',2021-02-03
504,A,category_7,57,C',2022-03-01
505,C,category_6,11,B',2021-03-23
506,D,category_3,36,B',2022-11-07
507,A,category_5,97,C',2023-11-27
508,B,category_4,54,B',2023-05-04
509,A,category_4,41,B',2023-05-01
510,C,category_1,77,B',2022-12-27
511,D,category_5,34,A',2023-07-03
512,A,category_2,70,A',2020-02-03
513,B,category_9,57,A',2021-06-23
514,B,category_5,0,A',2023-11-04
515,B,category_6,20,C',2020-01-12
516,C,category_5,73,C',2020-08-03
517,C,category_2,46,B',2021-11-01
518,C,category_8,77,B',2021-07-10
519,D,category_6,39,A',2023-11-16
520,B,category_4,41,A',2023-07-16
521,C,category_3,15,B',2021-01-06
522,B,category_4,86,B',2020-01-15
523,D,category_1,93,B',2023-02-05
524,B,category_9,9,C',2020-12-03
525,A,category_5,4,B',2020-08-17
526,D,category_7,89,B',2023-02-02
527,B,category_3,30,A',2020-05-22
528,B,category_5,35,C',2020-04-04
529,B,category_6,30,B',2022-07-05
530,A,category_1,71,B',2022-07-20
531,B,category_5,45,A',2020-11-11
532,B,category_2,92,C',2020-04-22
533,A,category_6,40,B',2021-09-03
534,D,category_4,15,A',2023-11-25
535,C,category_2,44,B',2023-10-11
536,D,category_6,57,B',2020-09-25
537,B,category_9,4,A',2022-11-18
538,B,category_5,6,A',2020-05-18
539,B,category_4,29,C',2021-12-27
540,D,category_9,80,C',2020-10-03
541,B,category_6,37,B',2022-11-18
542,D,category_3,1,C',2020-11-20
543,A,category_9,99,C',2022-04-25
544,C,category_9,90,A',2020-02-27
545,C,category_1,38,C',2020-06-10
546,A,category_9,6,C',2020-02-27
547,D,category_1,63,A',2021-12-21
548,C,category_3,77,B',2022-11-04
549,D,category_2,52,A',2021-04-22
550,D,category_5,74,B',2020-10-07
551,B,category_7,25,A',2021-05-23
552,D,category_6,49,B',2021-08-22
553,D,category_1,82,C',2020-01-03
554,D,category_1,19,A',2021-06-17
555,A,category_3,47,C',2023-03-23
556,D,category_5,89,A',2020-01-01
557,A,category_8,80,B',2023-11-25
558,A,category_7,28,C',2020-04-09
559,C,category_4,67,B',2020-01-04
560,D,category_7,20,B',2021-09-16
561,A,category_7,20,C',2023-05-16
562,D,category_3,92,C',2023-03-06
563,C,category_6,65,A',2021-09-05
564,B,category_9,63,C',2020-05-09
565,A,category_4,88,C',2023-02-21
566,B,category_3,69,A',2020-03-25
567,A,category_4,53,C',2022-07-10
568,B,category_3,40,C',2022-09-05
569,A,category_8,27,C',2020-07-13
570,B,category_4,26,B',2022-04-09
571,B,category_4,42,C',2022-12-01
572,C,category_6,94,B',2021-05-03
573,C,category_9,21,A',2023-02-05
574,C,category_8,15,C',2023-03-12
575,C,category_8,83,B',2021-12-13
576,D,category_8,80,C',2020-08-13
577,D,category_9,29,C',2020-09-12
578,A,category_5,45,C',2023-07-11
579,A,category_9,59,B',2022-11-18
580,C,category_6,6,B',2021-03-02
581,B,category_7,86,A',2021-06-23
582,C,category_1,8,B',2022-06-07
583,C,category_5,73,A',2022-10-08
584,B,category_7,27,C',2020-12-21
585,C,category_4,63,A',2023-05-04
586,A,category_9,82,C',2022-01-24
587,C,category_3,59,B',2020-01-23
588,A,category_4,13,C',2020-05-03
589,A,category_5,25,C',2020-11-12
590,D,category_3,54,A',2021-10-01
591,C,category_6,88,C',2022-02-02
592,A,category_8,63,B',2023-08-27
593,D,category_3,49,B',2022-07-06
594,D,category_7,56,C',2020-05-26
595,D,category_3,24,B',2022-06-01
596,B,category_7,20,A',2023-07-16
597,C,category_6,31,C',2022-12-12
598,B,category_2,82,A',2022-09-09
599,A,category_9,99,C',2021-03-16
600,C,category_3,71,B',2020-09-13
601,A,category_4,87,C',2020-10-02
602,C,category_1,72,C',2023-01-03
603,D,category_2,1,A',2020-09-15
604,A,category_5,10,B',2022-01-05
605,B,category_3,43,B',2022-07-17
606,A,category_2,36,A',2021-09-04
607,B,category_9,31,A',2020-12-18
608,C,category_3,63,C',2021-03-27
609,A,category_1,95,C',2021-12-04
610,C,category_2,19,C',2020-03-03
611,B,category_5,31,C',2020-01-25
612,C,category_7,24,B',2022-12-12
613,C,category_5,3,A',2020-10-16
614,C,category_4,54,B',2023-08-06
615,C,category_1,92,A',2021-04-22
616,B,category_5,45,B',2023-04-09
617,C,category_3,34,B',2023-01-19
618,A,category_5,70,B',2023-09-18
619,C,category_6,67,C',2023-10-23
620,C,category_8,92,C',2022-06-18
621,B,category_6,87,B',2023-09-03
622,B,category_4,86,A',2022-03-22
623,A,category_2,97,C',2022-05-10
624,B,category_7,7,A',2020-12-10
625,C,category_8,0,C',2021-07-09
626,D,category_6,80,B',2021-04-02
627,D,category_2,25,A',2021-08-10
628,B,category_9,43,A',2022-01-09
629,A,category_2,48,B',2023-10-04
630,C,category_3,60,C',2021-06-16
631,A,category_5,34,B',2021-03-08
632,C,category_2,21,A',2023-07-26
633,C,category_8,0,B',2020-05-20
634,D,category_5,54,C',2020-07-04
635,B,category_9,55,A',2022-11-15
636,C,category_3,20,B',2021-09-23
637,B,category_2,41,A',2021-04-24
638,B,category_9,9,B',2023-04-08
639,B,category_4,16,A',2023-02-06
640,C,category_2,35,C',2023-04-16
641,A,category_7,14,A',2021-10-09
642,B,category_4,15,A',2022-11-07
643,C,category_2,69,A',2021-08-25
644,B,category_6,24,A',2020-02-10
645,C,category_8,0,B',2021-11-06
646,A,category_4,68,B',2021-03-21
647,C,category_7,80,C',2023-10-24
648,D,category_3,97,C',2023-11-20
649,B,category_5,15,C',2022-04-24
650,C,category_8,84,C',2022-07-02
651,D,category_5,37,B',2021-01-13
652,A,category_1,1,B',2021-05-05
653,D,category_6,33,B',2022-12-10
654,B,category_6,97,C',2021-06-19
655,B,category_4,13,C',2022-01-20
656,B,category_7,25,C',2022-06-23
657,B,category_7,47,B',2021-02-15
658,D,category_3,37,A',2023-09-03
659,D,category_2,10,C',2021-02-19
660,C,category_2,79,C',2023-03-08
661,C,category_1,50,B',2022-10-10
662,A,category_7,18,C',2021-10-25
663,D,category_7,53,B',2020-03-16
664,A,category_1,98,C',2021-08-27
665,B,category_9,40,A',2020-05-13
666,B,category_4,6,B',2022-08-20
667,C,category_4,71,C',2022-01-04
668,B,category_3,1,C',2020-07-27
669,D,category_4,78,B',2021-07-05
670,B,category_1,21,C',2020-11-04
671,A,category_3,25,A',2021-10-11
672,A,category_5,60,C',2023-05-01
673,A,category_5,62,B',2021-04-04
674,B,category_7,71,C',2020-11-06
675,D,category_2,53,C',2022-03-22
676,C,category_1,57,A',2020-04-01
677,D,category_4,95,B',2022-08-20
678,A,category_4,28,A',2021-10-09
679,B,category_9,72,B',2023-04-23
680,C,category_6,25,C',2022-08-04
681,D,category_9,74,A',2022-07-19
682,B,category_5,60,A',2020-09-24
683,D,category_6,90,C',2020-04-19
684,A,category_7,52,A',2020-07-15
685,D,category_1,49,C',2020-11-08
686,B,category_5,22,B',2020-04-05
687,D,category_8,12,A',2021-04-23
688,A,category_9,72,C',2023-07-04
689,C,category_8,24,A',2021-10-19
690,A,category_4,26,A',2020-09-07
691,C,category_6,52,C',2023-06-12
692,D,category_2,93,A',2022-05-09
693,C,category_6,4,C',2020-05-02
694,B,category_4,62,A',2023-02-24
695,B,category_9,90,A',2022-08-01
696,D,category_6,98,C',2022-04-19
697,B,category_7,44,A',2022-03-24
698,D,category_8,11,A',2020-09-08
699,C,category_5,80,C',2023-05-01
700,B,category_3,93,A',2020-11-23
701,C,category_8,25,C',2021-12-18
702,A,category_1,66,A',2023-11-13
703,C,category_2,91,B',2023-02-15
704,D,category_5,59,C',2021-12-13
705,A,category_5,11,B',2021-11-21
706,C,category_6,47,A',2022-04-22
707,B,category_9,23,B',2020-09-05
708,C,category_4,34,B',2020-06-18
709,D,category_8,98,C',2022-09-23
710,A,category_9,51,A',2022-01-24
711,B,category_1,4,A',2022-05-09
712,C,category_1,19,A',2023-03-08
713,C,category_3,33,A',2022-08-01
714,B,category_6,26,B',2022-03-21
715,B,category_5,85,C',2022-01-24
716,C,category_6,47,B',2022-08-02
717,A,category_9,74,C',2022-05-02
718,B,category_3,20,A',2023-01-06
719,C,category_6,43,B',2022-03-07
720,C,category_4,68,B',2020-11-14
721,C,category_4,39,A',2023-10-20
722,C,category_3,38,A',2022-09-03
723,C,category_1,1,C',2021-05-15
724,A,category_1,5,A',2023-12-13
725,D,category_5,15,B',2021-10-18
726,B,category_2,16,B',2020-06-10
727,C,category_6,65,C',2021-07-02
728,C,category_2,83,C',2022-07-03
729,B,category_6,85,C',2023-03-06
730,C,category_2,53,B',2020-04-16
731,A,category_1,95,C',2022-02-18
732,C,category_9,28,C',2020-01-27
733,A,category_6,38,A',2020-05-19
734,B,category_8,34,B',2023-02-09
