id,column_1,column_2
347,C,cat_8
348,C,cat_3
349,C,cat_8
350,B,cat_6
351,D,cat_8
352,B,cat_7
353,A,cat_2
354,D,cat_1
355,D,cat_7
356,B,cat_6
357,B,cat_7
358,B,cat_8
359,A,cat_3
360,C,cat_1
361,B,cat_1
362,B,cat_5
363,D,cat_8
364,B,cat_7
365,B,cat_6
366,C,cat_5
367,B,cat_3
368,C,cat_1
369,C,cat_7
370,D,cat_7
371,C,cat_1
372,D,cat_4
373,B,cat_3
374,C,cat_7
375,C,cat_8
376,B,cat_1
377,D,cat_2
378,D,cat_6
379,C,cat_8
380,C,cat_6
381,C,cat_1
382,C,cat_8
383,D,cat_2
384,A,cat_4
385,B,cat_8
386,A,cat_8
387,B,cat_3
388,C,cat_7
389,C,cat_1
390,B,cat_1
391,B,cat_3
392,D,cat_2
393,C,cat_8
394,D,cat_8
395,C,cat_7
396,C,cat_5
397,A,cat_1
398,C,cat_3
399,C,cat_3
400,C,cat_8
401,C,cat_7
402,D,cat_1
403,D,cat_1
404,B,cat_5
405,A,cat_1
406,C,cat_1
407,A,cat_1
408,B,cat_7
409,D,cat_4
410,C,cat_5
411,D,cat_8
412,D,cat_6
413,A,cat_5
414,B,cat_1
415,B,cat_4
416,B,cat_1
417,A,cat_1
418,C,cat_3
419,C,cat_5
420,C,cat_4
421,D,cat_8
422,C,cat_7
423,A,cat_7
424,B,cat_4
425,B,cat_5
426,D,cat_2
427,C,cat_4
428,B,cat_1
429,D,cat_5
430,D,cat_6
431,A,cat_4
432,A,cat_7
433,D,cat_1
434,D,cat_1
435,A,cat_1
436,A,cat_7
437,A,cat_5
438,A,cat_6
439,C,cat_2
440,C,cat_3
441,D,cat_4
442,B,cat_7
443,B,cat_4
444,B,cat_5
445,C,cat_4
446,A,cat_6
447,A,cat_3
448,A,cat_8
449,B,cat_4
450,A,cat_5
451,C,cat_4
452,A,cat_1
453,D,cat_2
454,D,cat_1
455,D,cat_7
456,B,cat_2
457,B,cat_6
458,A,cat_4
459,A,cat_3
460,B,cat_2
461,D,cat_5
462,A,cat_4
463,B,cat_5
464,A,cat_7
465,A,cat_4
466,A,cat_2
467,C,cat_2
468,D,cat_1
469,B,cat_5
470,A,cat_3
471,C,cat_8
472,C,cat_2
473,B,cat_2
474,C,cat_2
475,A,cat_1
476,D,cat_2
477,D,cat_6
478,D,cat_1
479,A,cat_6
480,A,cat_3
481,D,cat_8
482,D,cat_7
483,D,cat_3
484,B,cat_2
485,A,cat_5
486,C,cat_5
487,B,cat_5
488,A,cat_8
489,B,cat_8
490,D,cat_1
491,D,cat_4
492,D,cat_2
493,A,cat_1
494,D,cat_8
495,A,cat_4
496,C,cat_6
497,B,cat_1
498,C,cat_3
499,C,cat_8
500,C,cat_7
501,C,cat_3
502,B,cat_1
503,B,cat_3
504,A,cat_1
505,C,cat_8
506,D,cat_4
507,C,cat_1
508,C,cat_5
509,A,cat_8
510,C,cat_7
511,B,cat_5
512,D,cat_6
513,C,cat_1
514,C,cat_5
515,D,cat_3
516,C,cat_3
517,B,cat_8
518,D,cat_5
519,A,cat_7
520,C,cat_3
521,D,cat_8
522,C,cat_4
523,A,cat_4
524,D,cat_6
525,C,cat_6
526,B,cat_4
527,C,cat_7
528,A,cat_4
529,A,cat_2
530,D,cat_7
531,A,cat_5
532,C,cat_7
533,C,cat_8
534,D,cat_8
535,B,cat_2
536,A,cat_4
537,B,cat_1
538,D,cat_4
539,D,cat_8
540,C,cat_5
541,A,cat_6
542,A,cat_8
543,A,cat_3
544,A,cat_2
545,A,cat_5
546,C,cat_8
547,B,cat_3
548,B,cat_2
549,A,cat_4
550,B,cat_4
551,C,cat_4
552,D,cat_1
553,D,cat_6
554,C,cat_2
555,C,cat_7
556,C,cat_4
557,C,cat_1
558,D,cat_8
559,B,cat_1
560,A,cat_5
561,A,cat_1
562,B,cat_3
563,A,cat_2
564,C,cat_4
565,A,cat_2
566,D,cat_3
567,D,cat_5
568,C,cat_2
569,A,cat_8
570,D,cat_6
571,D,cat_2
572,B,cat_3
573,C,cat_1
574,D,cat_1
575,B,cat_2
576,D,cat_7
577,B,cat_3
578,D,cat_7
579,B,cat_4
580,C,cat_7
581,D,cat_2
582,A,cat_6
583,D,cat_5
584,A,cat_2
585,D,cat_7
586,C,cat_6
587,B,cat_4
588,C,cat_8
589,B,cat_7
590,A,cat_2
591,B,cat_2
592,D,cat_3
593,B,cat_4
594,A,cat_7
595,C,cat_3
596,C,cat_3
597,A,cat_1
598,C,cat_3
599,D,cat_8
600,B,cat_2
601,B,cat_5
602,A,cat_7
603,C,cat_5
604,C,cat_6
605,C,cat_2
606,D,cat_4
607,D,cat_8
608,A,cat_1
609,D,cat_3
610,A,cat_1
611,C,cat_6
612,C,cat_6
613,B,cat_4
614,A,cat_1
615,B,cat_4
616,B,cat_8
617,D,cat_2
618,B,cat_4
619,B,cat_4
620,A,cat_8
621,D,cat_1
622,B,cat_7
623,A,cat_4
624,C,cat_3
625,C,cat_1
626,C,cat_5
627,B,cat_5
628,C,cat_7
629,B,cat_7
630,A,cat_5
631,D,cat_6
632,C,cat_1
633,D,cat_3
634,A,cat_4
635,B,cat_8
636,D,cat_5
637,B,cat_8
638,D,cat_3
639,C,cat_5
640,B,cat_7
641,D,cat_3
642,B,cat_5
643,A,cat_6
644,D,cat_8
645,C,cat_4
646,C,cat_2
647,A,cat_1
648,D,cat_3
649,D,cat_6
650,A,cat_5
651,D,cat_6
652,D,cat_5
653,D,cat_6
654,A,cat_7
655,A,cat_1
656,A,cat_1
657,C,cat_8
658,D,cat_8
659,D,cat_3
660,B,cat_7
661,D,cat_3
662,C,cat_8
663,B,cat_8
664,D,cat_5
665,A,cat_2
666,C,cat_5
667,C,cat_5
668,D,cat_6
669,D,cat_7
670,B,cat_2
671,B,cat_6
672,C,cat_6
673,A,cat_8
674,D,cat_7
675,C,cat_3
676,B,cat_8
677,B,cat_6
678,C,cat_6
679,A,cat_3
680,D,cat_7
681,B,cat_4
682,D,cat_6
683,A,cat_6
684,D,cat_6
685,B,cat_6
686,D,cat_4
687,C,cat_5
688,D,cat_7
689,A,cat_5
690,B,cat_6
691,C,cat_7
692,C,cat_8
693,C,cat_7
694,C,cat_8
695,D,cat_4
696,A,cat_7
697,B,cat_2
698,C,cat_7
699,B,cat_7
700,B,cat_5
701,D,cat_4
702,D,cat_4
703,D,cat_5
704,B,cat_2
705,B,cat_8
706,C,cat_7
707,C,cat_4
708,B,cat_2
709,D,cat_2
710,D,cat_1
711,C,cat_8
712,B,cat_1
713,A,cat_1
714,A,cat_4
715,D,cat_8
716,D,cat_4
717,D,cat_2
718,C,cat_8
719,C,cat_5
720,A,cat_6
721,B,cat_7
722,D,cat_6
723,A,cat_7
724,B,cat_3
725,C,cat_8
726,D,cat_4
727,C,cat_7
728,C,cat_4
729,B,cat_8
730,A,cat_4
731,C,cat_2
732,D,cat_6
733,C,cat_2
734,B,cat_7
735,D,cat_6
736,A,cat_8
737,C,cat_8
738,B,cat_1
739,C,cat_1
740,C,cat_7
741,A,cat_8
742,D,cat_5
743,C,cat_8
744,D,cat_1
745,B,cat_6
746,B,cat_7
747,B,cat_3
748,A,cat_6
749,B,cat_3
750,B,cat_7
751,D,cat_6
752,C,cat_4
753,C,cat_5
754,B,cat_2
755,C,cat_3
756,A,cat_7
757,C,cat_6
758,C,cat_4
759,D,cat_7
760,B,cat_4
761,B,cat_8
762,B,cat_1
763,D,cat_5
764,A,cat_3
765,C,cat_1
766,C,cat_7
767,D,cat_5
768,A,cat_5
769,D,cat_8
770,B,cat_7
771,A,cat_4
772,B,cat_3
773,D,cat_3
774,C,cat_8
775,C,cat_4
776,B,cat_3
777,D,cat_7
778,D,cat_8
779,D,cat_5
780,C,cat_4
781,D,cat_7
782,D,cat_2
783,A,cat_5
784,D,cat_3
785,C,cat_4
786,C,cat_8
787,C,cat_1
788,B,cat_2
789,B,cat_3
790,C,cat_3
791,C,cat_3
792,A,cat_8
793,A,cat_8
794,A,cat_2
795,D,cat_1
796,D,cat_3
797,B,cat_3
798,C,cat_8
799,C,cat_3
800,D,cat_6
801,D,cat_2
802,A,cat_2
803,D,cat_5
804,A,cat_5
805,A,cat_2
806,C,cat_3
807,D,cat_3
808,A,cat_3
809,A,cat_7
810,C,cat_7
811,B,cat_2
812,A,cat_5
813,B,cat_8
814,C,cat_1
815,B,cat_6
816,D,cat_1
817,C,cat_8
818,C,cat_8
819,B,cat_5
820,D,cat_4
821,D,cat_7
822,B,cat_7
823,A,cat_2
824,C,cat_8
825,D,cat_7
826,C,cat_1
827,B,cat_5
828,C,cat_8
829,C,cat_8
830,A,cat_6
831,A,cat_6
832,A,cat_3
833,B,cat_1
834,C,cat_1
835,B,cat_6
836,D,cat_8
837,A,cat_4
838,D,cat_7
839,C,cat_6
840,C,cat_4
841,D,cat_2
842,D,cat_4
843,A,cat_2
844,C,cat_2
845,B,cat_7
846,D,cat_4
847,A,cat_1
848,B,cat_2
849,B,cat_5
850,D,cat_1
851,A,cat_6
852,D,cat_6
853,A,cat_1
854,B,cat_3
855,D,cat_4
856,B,cat_6
857,A,cat_4
858,C,cat_3
859,B,cat_2
860,B,cat_5
861,D,cat_4
862,D,cat_2
863,D,cat_6
864,C,cat_7
865,B,cat_4
866,A,cat_7
867,D,cat_4
868,B,cat_1
869,B,cat_2
870,B,cat_1
871,D,cat_5
872,B,cat_8
873,B,cat_3
874,B,cat_1
875,C,cat_1
876,B,cat_1
877,C,cat_6
878,B,cat_3
879,C,cat_7
880,A,cat_7
881,D,cat_3
882,C,cat_7
883,C,cat_7
884,C,cat_8
885,B,cat_8
886,A,cat_7
887,D,cat_5
888,B,cat_5
889,D,cat_1
890,A,cat_1
891,D,cat_4
892,A,cat_3
893,B,cat_5
894,A,cat_4
895,C,cat_3
896,D,cat_7
897,B,cat_7
898,A,cat_8
899,D,cat_5
900,C,cat_5
901,B,cat_5
902,A,cat_6
903,B,cat_3
904,D,cat_1
905,A,cat_7
906,A,cat_5
907,C,cat_1
908,B,cat_1
909,C,cat_3
910,B,cat_2
911,A,cat_4
912,C,cat_6
913,D,cat_1
914,D,cat_6
915,C,cat_6
916,D,cat_6
917,A,cat_4
918,B,cat_2
919,B,cat_1
920,D,cat_2
921,C,cat_1
922,D,cat_4
923,D,cat_7
924,D,cat_4
925,C,cat_6
926,C,cat_6
927,B,cat_7
928,A,cat_4
929,D,cat_7
930,D,cat_2
931,A,cat_7
932,D,cat_4
933,A,cat_7
934,D,cat_2
935,D,cat_1
936,C,cat_3
937,B,cat_3
938,D,cat_3
939,D,cat_7
940,D,cat_3
941,C,cat_1
942,A,cat_5
943,A,cat_2
944,A,cat_1
945,C,cat_3
946,C,cat_5
947,B,cat_2
948,C,cat_6
949,D,cat_4
950,D,cat_4
951,A,cat_3
952,A,cat_1
953,D,cat_8
954,D,cat_8
955,C,cat_7
956,B,cat_5
957,B,cat_8
958,D,cat_2
959,C,cat_8
960,C,cat_3
961,D,cat_8
962,A,cat_7
963,C,cat_6
964,C,cat_6
965,B,cat_7
966,C,cat_8
967,D,cat_4
968,B,cat_7
969,A,cat_2
970,C,cat_7
971,C,cat_1
972,D,cat_7
973,A,cat_2
974,B,cat_3
975,A,cat_6
976,B,cat_8
977,C,cat_4
978,B,cat_3
979,A,cat_2
980,D,cat_5
981,A,cat_1
982,C,cat_8
983,C,cat_8
984,B,cat_6
985,B,cat_4
986,A,cat_4
987,D,cat_6
988,D,cat_6
989,C,cat_6
990,B,cat_2
991,C,cat_1
992,A,cat_7
993,B,cat_8
994,C,cat_4
995,C,cat_6
996,D,cat_7
997,C,cat_6
998,C,cat_6
999,A,cat_7
1000,D,cat_3
1001,B,cat_5
1002,C,cat_7
1003,C,cat_8
1004,D,cat_8
1005,B,cat_6
1006,A,cat_4
1007,C,cat_3
1008,A,cat_5
1009,A,cat_6
1010,B,cat_4
1011,A,cat_4
1012,C,cat_1
1013,C,cat_8
1014,A,cat_4
1015,D,cat_7
1016,D,cat_7
1017,D,cat_2
1018,B,cat_7
1019,C,cat_4
1020,A,cat_6
1021,B,cat_2
1022,B,cat_8
1023,D,cat_4
1024,D,cat_2
1025,A,cat_6
1026,B,cat_3
1027,C,cat_2
1028,A,cat_2
1029,D,cat_5
1030,A,cat_1
1031,C,cat_7
1032,A,cat_5
1033,B,cat_4
1034,D,cat_4
1035,C,cat_8
1036,B,cat_4
1037,B,cat_8
1038,D,cat_7
1039,B,cat_6
1040,A,cat_8
1041,B,cat_3
1042,D,cat_1
1043,C,cat_6
1044,C,cat_7
1045,A,cat_6
1046,D,cat_6
1047,D,cat_6
1048,C,cat_8
1049,B,cat_2
1050,C,cat_3
1051,C,cat_3
1052,D,cat_2
1053,D,cat_4
1054,B,cat_3
1055,D,cat_5
1056,B,cat_7
1057,A,cat_6
1058,C,cat_7
1059,D,cat_7
1060,C,cat_1
1061,B,cat_5
1062,C,cat_7
1063,C,cat_8
1064,B,cat_6
1065,D,cat_7
1066,A,cat_8
1067,A,cat_8
1068,C,cat_8
1069,A,cat_6
1070,C,cat_6
1071,C,cat_2
1072,B,cat_8
1073,A,cat_5
1074,C,cat_8
1075,D,cat_2
1076,C,cat_7
1077,C,cat_6
1078,C,cat_3
1079,D,cat_7
1080,A,cat_3
1081,A,cat_1
1082,D,cat_8
1083,D,cat_5
1084,B,cat_4
1085,D,cat_3
1086,D,cat_4
1087,B,cat_8
1088,B,cat_3
1089,A,cat_2
1090,A,cat_7
1091,D,cat_1
1092,B,cat_3
1093,B,cat_8
1094,C,cat_6
1095,A,cat_5
1096,A,cat_4
1097,A,cat_1
1098,A,cat_3
1099,A,cat_2
1100,B,cat_2
1101,A,cat_3
1102,C,cat_7
1103,D,cat_1
1104,C,cat_2
1105,A,cat_3
1106,A,cat_1
1107,B,cat_3
1108,A,cat_1
1109,A,cat_8
1110,D,cat_7
1111,B,cat_7
1112,B,cat_4
1113,D,cat_8
1114,B,cat_1
1115,C,cat_5
1116,D,cat_6
1117,C,cat_4
1118,B,cat_4
1119,D,cat_3
1120,B,cat_5
1121,D,cat_4
1122,A,cat_4
1123,A,cat_5
1124,A,cat_2
1125,D,cat_7
1126,C,cat_2
1127,B,cat_6
1128,A,cat_4
1129,D,cat_8
1130,C,cat_2
1131,D,cat_7
1132,D,cat_8
1133,A,cat_8
1134,D,cat_1
1135,A,cat_8
1136,D,cat_6
1137,C,cat_8
1138,C,cat_2
1139,D,cat_6
1140,C,cat_6
1141,A,cat_4
1142,B,cat_5
1143,C,cat_6
1144,D,cat_8
1145,B,cat_5
1146,D,cat_3
1147,A,cat_7
1148,B,cat_3
1149,A,cat_2
1150,C,cat_6
1151,A,cat_7
1152,D,cat_5
1153,C,cat_1
1154,D,cat_7
1155,A,cat_7
1156,A,cat_8
1157,A,cat_4
1158,D,cat_3
1159,A,cat_8
1160,C,cat_4
1161,B,cat_1
1162,C,cat_3
1163,D,cat_1
1164,D,cat_2
1165,A,cat_6
1166,B,cat_1
1167,D,cat_6
1168,A,cat_2
1169,C,cat_1
1170,B,cat_6
1171,D,cat_5
1172,C,cat_4
1173,A,cat_4
1174,B,cat_3
1175,C,cat_2
1176,C,cat_6
1177,C,cat_6
1178,D,cat_1
1179,B,cat_7
1180,D,cat_2
1181,C,cat_8
1182,B,cat_4
1183,D,cat_4
1184,C,cat_7
1185,D,cat_1
1186,C,cat_7
1187,B,cat_4
1188,A,cat_7
1189,A,cat_2
1190,C,cat_3
1191,C,cat_2
1192,D,cat_8
1193,D,cat_6
1194,B,cat_6
1195,B,cat_2
1196,C,cat_3
1197,B,cat_6
1198,C,cat_5
1199,A,cat_4
1200,B,cat_1
1201,C,cat_5
1202,A,cat_6
1203,B,cat_6
1204,A,cat_3
1205,A,cat_4
1206,B,cat_3
1207,C,cat_6
1208,B,cat_2
1209,B,cat_8
1210,A,cat_1
1211,D,cat_3
1212,D,cat_2
1213,D,cat_5
1214,D,cat_3
1215,B,cat_8
1216,C,cat_8
1217,D,cat_5
1218,D,cat_1
1219,A,cat_5
1220,B,cat_1
1221,A,cat_1
1222,C,cat_5
1223,A,cat_5
1224,C,cat_3
1225,C,cat_8
1226,A,cat_1
1227,B,cat_8
1228,C,cat_4
1229,D,cat_5
1230,A,cat_7
1231,B,cat_2
1232,A,cat_6
1233,D,cat_7
1234,C,cat_3
1235,B,cat_8
1236,D,cat_3
1237,A,cat_2
1238,C,cat_7
1239,D,cat_6
1240,B,cat_6
1241,A,cat_2
1242,C,cat_3
1243,C,cat_1
1244,C,cat_2
1245,C,cat_6
1246,D,cat_7
1247,D,cat_5
1248,A,cat_4
1249,B,cat_7
1250,B,cat_4
1251,C,cat_7
1252,B,cat_3
1253,C,cat_1
1254,C,cat_3
1255,D,cat_3
1256,B,cat_6
1257,C,cat_4
1258,D,cat_8
1259,B,cat_8
1260,B,cat_6
1261,D,cat_8
1262,D,cat_4
1263,C,cat_5
1264,A,cat_1
1265,C,cat_1
1266,A,cat_1
1267,A,cat_8
1268,D,cat_5
1269,B,cat_2
1270,B,cat_8
1271,B,cat_8
1272,D,cat_1
1273,C,cat_6
1274,A,cat_6
1275,B,cat_4
1276,B,cat_2
1277,D,cat_1
1278,B,cat_8
1279,A,cat_5
1280,D,cat_1
1281,D,cat_5
1282,C,cat_8
1283,C,cat_3
1284,C,cat_6
1285,A,cat_6
1286,B,cat_1
1287,A,cat_5
1288,C,cat_8
1289,C,cat_1
1290,C,cat_7
1291,D,cat_8
1292,A,cat_5
1293,D,cat_2
1294,B,cat_6
1295,B,cat_4
1296,A,cat_4
1297,B,cat_3
1298,C,cat_7
1299,B,cat_5
1300,A,cat_7
1301,D,cat_5
1302,A,cat_5
1303,B,cat_4
1304,D,cat_8
1305,C,cat_5
1306,B,cat_2
1307,C,cat_3
1308,C,cat_5
1309,D,cat_1
1310,B,cat_6
1311,B,cat_7
1312,D,cat_2
1313,A,cat_4
1314,D,cat_8
1315,A,cat_6
1316,C,cat_7
1317,D,cat_5
1318,D,cat_7
1319,C,cat_6
1320,A,cat_3
1321,A,cat_3
1322,C,cat_2
1323,D,cat_5
1324,C,cat_5
1325,B,cat_6
1326,C,cat_8
1327,D,cat_4
1328,B,cat_5
1329,A,cat_6
1330,C,cat_1
1331,A,cat_1
1332,B,cat_2
1333,D,cat_5
1334,B,cat_2
1335,A,cat_4
1336,B,cat_2
1337,A,cat_7
1338,D,cat_2
1339,C,cat_1
1340,D,cat_1
1341,D,cat_5
1342,B,cat_2
1343,C,cat_3
1344,B,cat_7
1345,C,cat_5
1346,A,cat_3
1347,A,cat_7
1348,A,cat_6
1349,C,cat_2
1350,A,cat_3
1351,D,cat_6
1352,C,cat_2
1353,B,cat_6
1354,B,cat_6
1355,C,cat_5
1356,D,cat_5
1357,B,cat_6
1358,B,cat_5
1359,C,cat_7
1360,B,cat_2
1361,A,cat_8
1362,C,cat_8
1363,C,cat_8
1364,D,cat_1
1365,A,cat_5
1366,B,cat_4
1367,A,cat_1
1368,C,cat_4
1369,B,cat_8
1370,B,cat_5
1371,C,cat_4
1372,D,cat_1
1373,A,cat_8
1374,C,cat_7
1375,B,cat_6
1376,B,cat_3
1377,C,cat_3
1378,C,cat_3
1379,C,cat_4
1380,C,cat_3
1381,D,cat_1
1382,C,cat_3
1383,B,cat_6
1384,C,cat_7
1385,D,cat_8
1386,B,cat_4
1387,C,cat_2
1388,C,cat_4
1389,B,cat_3
1390,C,cat_3
1391,B,cat_4
1392,A,cat_2
1393,A,cat_3
1394,D,cat_3
1395,A,cat_2
1396,C,cat_4
1397,D,cat_4
1398,A,cat_2
1399,C,cat_3
1400,A,cat_3
1401,B,cat_1
1402,D,cat_5
1403,D,cat_6
1404,D,cat_4
1405,C,cat_4
1406,C,cat_6
1407,D,cat_1
1408,A,cat_4
1409,D,cat_8
1410,B,cat_3
1411,B,cat_6
1412,C,cat_6
1413,D,cat_8
1414,C,cat_5
1415,B,cat_1
1416,D,cat_8
1417,D,cat_6
1418,D,cat_4
1419,B,cat_6
1420,B,cat_7
1421,C,cat_8
1422,B,cat_8
1423,A,cat_1
1424,C,cat_7
1425,B,cat_6
1426,B,cat_3
1427,D,cat_2
1428,A,cat_1
1429,B,cat_8
1430,D,cat_5
1431,B,cat_1
1432,B,cat_3
1433,C,cat_8
1434,D,cat_8
1435,D,cat_7
1436,C,cat_8
1437,B,cat_8
1438,D,cat_6
1439,C,cat_6
1440,D,cat_5
1441,B,cat_6
1442,C,cat_1
1443,A,cat_6
1444,C,cat_3
1445,D,cat_4
1446,C,cat_1
1447,D,cat_8
1448,D,cat_7
1449,A,cat_4
1450,D,cat_8
1451,C,cat_8
1452,B,cat_2
1453,D,cat_7
1454,C,cat_2
1455,D,cat_1
1456,D,cat_7
1457,A,cat_3
1458,D,cat_1
1459,C,cat_2
1460,C,cat_7
1461,A,cat_8
1462,A,cat_3
1463,A,cat_8
1464,B,cat_3
1465,A,cat_4
1466,C,cat_6
1467,A,cat_5
1468,D,cat_3
1469,D,cat_8
1470,C,cat_3
1471,B,cat_7
1472,D,cat_4
1473,D,cat_5
1474,C,cat_1
1475,C,cat_8
1476,C,cat_6
1477,B,cat_4
1478,A,cat_5
1479,B,cat_4
1480,C,cat_1
1481,A,cat_5
1482,C,cat_2
1483,D,cat_7
1484,A,cat_5
1485,B,cat_4
1486,C,cat_4
1487,A,cat_2
1488,B,cat_6
1489,D,cat_5
1490,C,cat_4
1491,A,cat_6
1492,B,cat_8
1493,B,cat_3
1494,B,cat_5
1495,C,cat_8
1496,B,cat_5
1497,B,cat_7
