id,column_1,column_2,column_3
258,C,cat_4,29
259,A,cat_2,13
260,A,cat_8,24
261,A,cat_8,16
262,D,cat_1,45
263,B,cat_6,16
264,A,cat_6,71
265,A,cat_1,24
266,B,cat_5,58
267,B,cat_7,2
268,D,cat_1,78
269,C,cat_4,10
270,B,cat_4,61
271,C,cat_6,27
272,D,cat_1,16
273,A,cat_2,79
274,D,cat_8,35
275,C,cat_8,43
276,B,cat_2,8
277,B,cat_3,99
278,A,cat_5,41
279,C,cat_1,4
280,C,cat_3,93
281,C,cat_5,95
282,D,cat_8,66
283,B,cat_1,70
284,D,cat_3,95
285,C,cat_4,55
286,A,cat_2,54
287,D,cat_8,33
288,A,cat_7,98
289,D,cat_5,66
290,A,cat_3,42
291,A,cat_7,22
292,B,cat_8,28
293,C,cat_4,54
294,D,cat_2,82
295,D,cat_1,25
296,B,cat_6,10
297,B,cat_8,7
298,A,cat_8,11
299,A,cat_1,2
300,B,cat_5,32
301,D,cat_4,21
302,C,cat_1,31
303,D,cat_7,97
304,A,cat_5,54
305,D,cat_6,90
306,D,cat_8,93
307,D,cat_7,16
308,D,cat_3,52
309,A,cat_6,36
310,A,cat_5,35
311,C,cat_7,65
312,C,cat_2,74
313,A,cat_8,49
314,C,cat_4,76
315,B,cat_2,20
316,B,cat_3,37
317,D,cat_2,96
318,A,cat_7,88
319,B,cat_6,46
320,C,cat_7,54
321,B,cat_6,23
322,C,cat_3,46
323,D,cat_6,36
324,C,cat_3,3
325,D,cat_3,21
326,D,cat_2,93
327,C,cat_7,35
328,A,cat_4,51
329,C,cat_3,1
330,A,cat_4,5
331,D,cat_8,48
332,D,cat_1,93
333,D,cat_5,64
334,D,cat_3,6
335,C,cat_6,79
336,D,cat_3,86
337,C,cat_8,20
338,B,cat_6,42
339,A,cat_4,27
340,D,cat_6,70
341,D,cat_4,4
342,C,cat_7,74
343,A,cat_8,11
344,A,cat_6,60
345,C,cat_7,9
346,A,cat_1,0
347,B,cat_4,58
348,C,cat_8,87
349,C,cat_5,30
350,B,cat_3,46
351,B,cat_4,19
352,B,cat_8,1
353,B,cat_7,60
354,B,cat_3,73
355,C,cat_3,18
356,C,cat_4,22
357,C,cat_6,22
358,B,cat_5,41
359,A,cat_6,3
360,D,cat_4,55
361,B,cat_4,6
362,B,cat_2,92
363,C,cat_4,36
364,C,cat_5,70
365,D,cat_6,94
366,B,cat_2,24
367,A,cat_3,97
368,A,cat_5,87
369,A,cat_6,90
370,C,cat_2,80
371,D,cat_6,67
372,D,cat_8,92
373,C,cat_7,90
374,B,cat_8,85
375,A,cat_3,8
376,C,cat_5,72
377,D,cat_2,85
378,B,cat_4,58
379,C,cat_2,56
380,B,cat_7,16
381,B,cat_3,78
382,D,cat_4,41
383,C,cat_8,56
384,C,cat_8,54
385,D,cat_6,50
386,C,cat_7,8
387,B,cat_6,84
388,B,cat_4,73
389,D,cat_8,28
390,C,cat_2,41
391,D,cat_6,15
392,C,cat_2,72
393,C,cat_6,69
394,D,cat_7,3
395,C,cat_7,93
396,A,cat_2,73
397,A,cat_6,96
398,A,cat_5,1
399,A,cat_1,9
400,D,cat_1,55
401,D,cat_3,69
402,A,cat_6,94
403,D,cat_1,19
404,D,cat_1,77
405,C,cat_1,54
406,A,cat_6,83
407,A,cat_6,21
408,C,cat_8,13
409,C,cat_6,7
410,D,cat_7,38
411,C,cat_4,86
412,B,cat_8,28
413,A,cat_7,1
414,B,cat_1,73
415,A,cat_6,71
416,A,cat_3,63
417,D,cat_2,30
418,C,cat_2,64
419,D,cat_7,2
420,D,cat_6,23
421,A,cat_3,86
422,B,cat_1,48
423,D,cat_8,6
424,A,cat_7,38
425,D,cat_1,48
426,B,cat_5,36
427,D,cat_2,30
428,C,cat_3,65
429,C,cat_5,81
430,D,cat_6,13
431,A,cat_8,66
432,D,cat_1,1
433,A,cat_8,5
434,D,cat_7,76
435,D,cat_8,51
436,C,cat_5,34
437,C,cat_2,90
438,D,cat_3,31
439,C,cat_1,6
440,B,cat_2,10
441,C,cat_4,66
442,A,cat_6,30
443,B,cat_6,41
444,B,cat_5,7
445,B,cat_7,57
446,D,cat_8,13
447,C,cat_2,76
448,C,cat_8,97
449,B,cat_7,80
450,A,cat_5,45
451,B,cat_7,87
452,B,cat_7,23
453,A,cat_4,98
454,A,cat_6,28
455,D,cat_8,74
456,D,cat_8,62
457,C,cat_2,63
458,A,cat_3,66
459,C,cat_4,73
460,B,cat_2,73
461,B,cat_2,26
462,A,cat_6,83
463,D,cat_8,80
464,A,cat_4,34
465,D,cat_4,33
466,B,cat_2,9
467,A,cat_7,49
468,A,cat_4,9
469,C,cat_4,38
470,A,cat_8,68
471,B,cat_2,71
472,B,cat_8,42
473,D,cat_2,42
474,D,cat_6,88
475,C,cat_1,60
476,B,cat_4,80
477,C,cat_6,78
478,A,cat_3,6
479,A,cat_7,93
480,A,cat_5,90
481,A,cat_3,41
482,D,cat_4,35
483,A,cat_6,96
484,D,cat_6,24
485,D,cat_5,19
486,C,cat_6,81
487,B,cat_8,74
488,C,cat_1,24
489,B,cat_3,99
490,D,cat_5,57
491,A,cat_6,88
492,A,cat_7,74
493,D,cat_8,46
494,C,cat_8,74
495,C,cat_3,66
496,D,cat_5,80
497,C,cat_2,13
498,C,cat_4,85
499,B,cat_3,4
500,D,cat_5,8
501,B,cat_5,59
502,A,cat_3,37
503,C,cat_1,88
504,B,cat_8,14
505,C,cat_5,43
506,A,cat_3,19
507,D,cat_1,60
508,D,cat_1,89
509,D,cat_1,67
510,C,cat_2,18
511,D,cat_4,92
512,A,cat_7,98
513,B,cat_3,40
514,B,cat_3,95
515,C,cat_2,88
516,B,cat_4,47
517,A,cat_7,39
518,C,cat_3,11
519,B,cat_4,6
520,A,cat_6,26
521,D,cat_2,90
522,D,cat_2,71
523,A,cat_3,12
524,D,cat_8,93
525,B,cat_4,54
526,D,cat_7,1
527,B,cat_5,52
528,A,cat_8,14
529,C,cat_2,16
530,B,cat_5,96
531,C,cat_5,56
532,A,cat_8,33
533,A,cat_4,95
534,A,cat_5,37
535,B,cat_1,66
536,C,cat_1,7
537,C,cat_5,39
538,A,cat_5,29
539,B,cat_7,36
540,A,cat_1,94
541,D,cat_3,15
542,B,cat_1,8
543,B,cat_6,85
544,D,cat_7,53
545,D,cat_5,55
546,B,cat_8,61
547,D,cat_5,21
548,C,cat_8,76
549,D,cat_3,61
550,B,cat_2,51
551,A,cat_6,99
552,D,cat_7,98
553,D,cat_3,96
554,A,cat_4,6
555,D,cat_3,4
556,B,cat_3,45
557,A,cat_1,96
558,D,cat_2,84
559,D,cat_1,7
560,C,cat_4,81
561,B,cat_5,86
562,B,cat_2,85
563,D,cat_4,73
564,A,cat_7,59
565,C,cat_6,24
566,A,cat_5,85
567,C,cat_2,29
568,C,cat_5,14
569,D,cat_7,65
570,D,cat_3,80
571,D,cat_3,21
572,C,cat_7,88
573,B,cat_8,47
574,A,cat_1,56
575,B,cat_1,81
576,A,cat_7,87
577,A,cat_5,81
578,C,cat_2,76
579,B,cat_4,61
580,C,cat_8,69
581,A,cat_6,29
582,A,cat_8,60
583,D,cat_3,94
584,A,cat_6,96
585,B,cat_6,70
586,C,cat_5,97
587,B,cat_8,76
588,D,cat_7,92
589,C,cat_5,27
590,C,cat_6,62
591,C,cat_6,30
592,A,cat_1,11
593,D,cat_6,62
594,B,cat_3,86
595,B,cat_7,41
596,C,cat_4,23
597,A,cat_1,29
598,D,cat_5,2
599,A,cat_7,28
600,B,cat_8,81
601,D,cat_8,13
602,A,cat_5,43
603,B,cat_6,18
604,C,cat_7,51
605,D,cat_3,44
606,C,cat_7,51
607,D,cat_7,95
608,B,cat_4,48
609,D,cat_2,81
610,A,cat_6,53
611,B,cat_4,19
612,B,cat_2,67
613,B,cat_6,14
614,A,cat_7,4
615,C,cat_4,91
616,B,cat_6,94
617,D,cat_7,35
618,D,cat_2,30
619,B,cat_8,11
620,D,cat_5,16
621,A,cat_8,72
622,C,cat_6,23
623,D,cat_5,64
624,A,cat_6,91
625,A,cat_4,99
626,D,cat_4,65
627,D,cat_5,37
628,D,cat_4,76
629,C,cat_3,26
630,B,cat_4,1
631,D,cat_6,79
632,B,cat_3,97
633,A,cat_3,14
634,B,cat_3,85
635,C,cat_6,29
636,C,cat_8,50
637,D,cat_8,70
638,C,cat_4,71
639,A,cat_2,48
640,B,cat_5,65
641,D,cat_4,41
642,B,cat_1,31
643,C,cat_1,59
644,D,cat_4,55
645,B,cat_7,33
646,C,cat_5,54
647,D,cat_3,44
648,D,cat_5,84
649,C,cat_3,3
650,A,cat_2,99
651,B,cat_2,53
652,B,cat_5,3
653,C,cat_3,53
654,C,cat_7,74
655,D,cat_6,31
656,B,cat_3,24
657,A,cat_1,25
658,B,cat_5,16
659,D,cat_1,0
660,D,cat_3,49
661,A,cat_7,88
662,A,cat_3,6
663,A,cat_8,57
664,C,cat_5,93
665,D,cat_8,78
666,A,cat_8,27
667,C,cat_6,49
668,C,cat_5,17
669,D,cat_8,81
670,B,cat_4,54
671,A,cat_6,65
672,B,cat_4,7
673,D,cat_4,88
674,A,cat_3,39
675,B,cat_2,49
676,B,cat_1,65
677,B,cat_8,88
678,D,cat_8,74
679,C,cat_6,96
680,D,cat_2,5
681,B,cat_7,7
682,C,cat_7,40
683,C,cat_8,63
684,D,cat_5,53
685,A,cat_4,98
686,D,cat_2,47
687,B,cat_1,72
688,B,cat_6,53
689,D,cat_5,6
690,A,cat_6,2
691,C,cat_1,78
692,A,cat_5,47
693,D,cat_5,13
694,C,cat_2,43
695,D,cat_4,40
696,D,cat_3,9
697,A,cat_8,5
698,D,cat_4,44
699,D,cat_8,23
700,C,cat_1,98
701,B,cat_1,24
702,D,cat_8,95
703,B,cat_8,31
704,D,cat_6,35
705,A,cat_8,38
706,A,cat_5,49
707,D,cat_8,37
708,A,cat_3,55
709,D,cat_4,0
710,C,cat_5,54
711,A,cat_4,64
712,D,cat_4,95
713,B,cat_4,0
714,C,cat_3,84
715,B,cat_7,71
716,C,cat_5,80
717,B,cat_8,62
718,A,cat_2,44
719,A,cat_2,20
720,A,cat_2,13
721,D,cat_3,11
722,A,cat_8,83
723,D,cat_2,47
724,C,cat_4,82
725,A,cat_3,29
726,B,cat_8,39
727,C,cat_5,33
728,B,cat_3,56
729,C,cat_6,71
730,A,cat_3,28
731,C,cat_7,8
732,D,cat_3,93
733,C,cat_1,47
734,D,cat_8,10
735,C,cat_7,12
736,C,cat_6,4
737,B,cat_7,69
738,D,cat_7,73
739,A,cat_2,45
740,D,cat_5,88
741,D,cat_5,14
742,A,cat_5,13
743,D,cat_7,48
744,D,cat_6,46
745,C,cat_7,12
746,C,cat_4,44
747,B,cat_2,46
748,B,cat_5,84
749,C,cat_7,18
750,B,cat_1,39
751,B,cat_8,83
752,B,cat_3,85
753,B,cat_2,52
754,A,cat_2,24
755,A,cat_5,48
756,B,cat_1,47
757,A,cat_3,28
758,A,cat_2,46
759,D,cat_7,66
760,D,cat_8,43
761,D,cat_1,38
762,D,cat_6,14
763,C,cat_8,14
764,C,cat_4,11
765,D,cat_5,9
766,A,cat_1,29
767,A,cat_4,47
768,C,cat_7,73
769,A,cat_7,97
770,A,cat_6,12
771,A,cat_8,74
772,C,cat_4,89
773,D,cat_4,12
774,C,cat_8,40
775,D,cat_8,55
776,C,cat_6,82
777,A,cat_3,79
778,B,cat_3,46
779,B,cat_7,4
780,C,cat_7,38
781,B,cat_6,43
782,C,cat_7,58
783,C,cat_8,40
784,D,cat_8,0
785,B,cat_1,66
786,D,cat_6,63
787,A,cat_7,36
788,D,cat_3,39
789,D,cat_6,36
790,C,cat_1,75
791,D,cat_8,4
792,B,cat_3,11
793,D,cat_1,16
794,A,cat_4,10
795,C,cat_6,27
796,C,cat_1,35
797,A,cat_3,92
798,C,cat_8,19
799,A,cat_5,69
800,C,cat_7,88
801,D,cat_6,33
802,A,cat_5,40
803,A,cat_6,97
804,D,cat_1,43
805,D,cat_1,19
806,C,cat_7,12
807,D,cat_7,54
808,C,cat_8,95
809,A,cat_3,4
810,A,cat_6,65
811,C,cat_2,34
812,A,cat_8,1
813,C,cat_3,16
814,B,cat_3,20
815,B,cat_7,20
816,D,cat_1,9
817,B,cat_7,59
818,C,cat_3,84
819,A,cat_1,40
820,D,cat_7,37
821,B,cat_6,17
822,A,cat_5,10
823,A,cat_1,65
824,B,cat_5,3
825,D,cat_8,32
826,D,cat_2,99
827,B,cat_5,69
828,A,cat_7,26
829,D,cat_8,61
830,D,cat_5,99
831,C,cat_3,97
832,A,cat_8,39
833,C,cat_6,38
834,B,cat_8,56
835,A,cat_7,15
836,C,cat_5,16
837,B,cat_3,11
838,B,cat_1,31
839,C,cat_4,58
840,B,cat_6,89
841,D,cat_5,39
842,C,cat_5,53
843,D,cat_5,35
844,A,cat_5,65
845,A,cat_2,57
846,B,cat_5,43
847,C,cat_2,20
848,B,cat_2,18
849,D,cat_3,51
850,C,cat_2,49
851,B,cat_7,29
852,C,cat_6,70
853,A,cat_8,20
854,C,cat_1,6
855,D,cat_2,15
856,C,cat_1,44
857,C,cat_7,80
858,C,cat_7,5
859,A,cat_5,39
860,C,cat_5,21
861,A,cat_3,26
862,A,cat_2,7
863,D,cat_2,1
864,C,cat_1,36
865,D,cat_6,0
866,B,cat_8,8
867,A,cat_3,5
868,C,cat_6,2
869,D,cat_3,38
870,B,cat_5,57
871,B,cat_6,34
872,C,cat_7,15
873,A,cat_8,78
874,C,cat_6,2
875,D,cat_5,85
876,D,cat_7,2
877,A,cat_4,91
878,D,cat_5,22
879,A,cat_4,9
880,B,cat_7,37
881,B,cat_2,86
882,D,cat_8,88
883,D,cat_1,16
884,C,cat_7,15
885,A,cat_6,39
886,C,cat_1,68
887,A,cat_8,95
888,A,cat_7,61
889,A,cat_1,43
890,D,cat_7,58
891,B,cat_2,29
892,B,cat_8,96
893,A,cat_1,61
894,B,cat_2,11
895,B,cat_4,47
896,D,cat_2,2
897,D,cat_7,68
898,A,cat_1,83
899,B,cat_4,23
900,C,cat_6,79
901,B,cat_5,35
902,D,cat_3,84
903,B,cat_6,1
904,D,cat_5,8
905,B,cat_7,31
906,B,cat_6,13
907,A,cat_3,14
908,C,cat_7,42
909,C,cat_1,86
910,B,cat_3,14
911,A,cat_2,60
912,C,cat_1,61
913,B,cat_6,81
914,B,cat_6,49
915,D,cat_7,95
916,C,cat_4,55
917,C,cat_1,46
918,B,cat_5,23
919,D,cat_5,94
920,B,cat_8,14
921,A,cat_4,97
922,A,cat_1,59
923,C,cat_7,11
924,B,cat_6,84
925,C,cat_4,38
926,A,cat_1,29
927,A,cat_4,26
928,C,cat_3,28
929,C,cat_3,69
930,A,cat_3,67
931,B,cat_8,14
932,B,cat_7,74
933,D,cat_1,94
934,C,cat_5,55
935,D,cat_7,5
936,A,cat_3,89
937,A,cat_2,45
938,A,cat_2,91
939,A,cat_2,76
940,D,cat_6,39
941,A,cat_4,42
942,D,cat_8,16
943,B,cat_1,60
944,C,cat_5,29
945,A,cat_8,31
946,B,cat_5,31
947,C,cat_6,50
948,A,cat_6,21
949,B,cat_2,88
950,C,cat_3,77
951,B,cat_8,88
952,D,cat_5,5
953,B,cat_6,87
954,B,cat_4,6
955,C,cat_8,15
956,B,cat_8,26
957,C,cat_3,25
958,D,cat_6,68
959,D,cat_8,15
960,D,cat_2,62
961,D,cat_1,56
962,B,cat_6,92
963,D,cat_3,26
964,B,cat_5,85
965,B,cat_6,81
966,C,cat_4,90
967,C,cat_3,4
968,B,cat_8,31
969,A,cat_1,30
970,A,cat_8,58
971,B,cat_6,25
972,A,cat_7,50
973,D,cat_6,84
974,B,cat_5,30
975,B,cat_4,15
976,C,cat_2,90
977,A,cat_5,33
978,D,cat_3,42
979,D,cat_6,16
980,A,cat_1,67
981,C,cat_3,68
982,D,cat_1,14
983,B,cat_6,25
984,C,cat_3,43
985,D,cat_3,80
986,A,cat_2,71
987,A,cat_2,71
988,A,cat_8,34
989,B,cat_4,44
990,C,cat_6,34
991,D,cat_2,58
992,A,cat_8,48
993,C,cat_5,17
994,B,cat_4,57
995,D,cat_1,65
996,B,cat_8,81
997,B,cat_1,39
998,D,cat_1,50
999,D,cat_8,42
1000,A,cat_8,62
1001,A,cat_6,6
1002,D,cat_1,8
1003,D,cat_4,40
1004,B,cat_1,64
1005,D,cat_7,21
1006,D,cat_6,88
1007,D,cat_6,44
1008,A,cat_6,76
1009,A,cat_2,40
1010,B,cat_8,19
1011,C,cat_2,29
1012,C,cat_2,39
1013,C,cat_8,17
1014,A,cat_4,48
1015,B,cat_8,35
1016,B,cat_3,0
1017,C,cat_5,29
1018,A,cat_1,55
1019,C,cat_3,54
1020,A,cat_5,70
1021,D,cat_5,70
1022,C,cat_1,43
1023,C,cat_5,50
1024,C,cat_1,57
1025,B,cat_3,37
1026,B,cat_3,22
1027,D,cat_8,27
1028,A,cat_3,15
1029,D,cat_3,4
1030,B,cat_8,24
1031,C,cat_3,79
1032,D,cat_4,56
1033,B,cat_5,35
1034,A,cat_2,46
1035,C,cat_7,87
1036,C,cat_5,65
1037,C,cat_2,26
1038,B,cat_3,63
1039,D,cat_5,97
1040,C,cat_8,28
1041,D,cat_5,11
1042,B,cat_5,95
1043,D,cat_4,1
1044,B,cat_5,70
1045,B,cat_1,78
1046,B,cat_4,28
1047,B,cat_8,68
1048,C,cat_7,22
1049,A,cat_3,66
1050,B,cat_7,63
1051,C,cat_7,71
1052,C,cat_1,53
1053,B,cat_4,82
1054,C,cat_5,0
1055,D,cat_2,43
1056,D,cat_2,89
1057,A,cat_8,40
1058,D,cat_8,8
1059,A,cat_4,49
1060,A,cat_5,72
1061,D,cat_7,40
1062,C,cat_1,62
1063,A,cat_5,34
1064,B,cat_6,29
1065,A,cat_7,30
1066,B,cat_8,95
1067,C,cat_1,94
1068,B,cat_1,49
1069,C,cat_7,33
1070,A,cat_2,32
1071,D,cat_8,70
1072,C,cat_1,51
1073,D,cat_2,55
1074,C,cat_3,88
1075,D,cat_1,87
1076,D,cat_7,82
1077,B,cat_6,6
1078,D,cat_5,92
1079,B,cat_6,71
1080,B,cat_7,44
1081,B,cat_2,68
1082,B,cat_1,89
1083,C,cat_6,62
1084,C,cat_2,5
1085,A,cat_8,27
1086,C,cat_5,28
1087,D,cat_1,62
1088,D,cat_2,11
1089,A,cat_7,73
1090,A,cat_3,93
1091,C,cat_7,81
1092,B,cat_5,55
1093,C,cat_4,33
1094,B,cat_5,90
1095,A,cat_2,69
1096,A,cat_4,50
1097,B,cat_2,28
1098,A,cat_6,28
1099,B,cat_1,27
1100,C,cat_5,74
1101,B,cat_7,40
1102,A,cat_7,69
1103,A,cat_3,92
1104,D,cat_8,81
1105,D,cat_8,83
1106,B,cat_8,4
1107,A,cat_3,81
1108,B,cat_7,53
1109,C,cat_6,83
1110,D,cat_6,57
1111,D,cat_2,62
1112,A,cat_1,55
1113,C,cat_4,83
1114,C,cat_7,31
1115,A,cat_8,70
1116,B,cat_4,51
1117,A,cat_3,85
1118,A,cat_2,96
1119,A,cat_2,2
1120,D,cat_1,81
1121,D,cat_7,61
1122,C,cat_2,45
1123,C,cat_4,20
1124,B,cat_1,44
1125,A,cat_8,52
1126,A,cat_3,72
1127,A,cat_1,2
1128,D,cat_1,90
1129,C,cat_2,30
1130,D,cat_8,89
1131,C,cat_3,74
1132,A,cat_3,52
1133,B,cat_1,7
1134,D,cat_3,57
1135,D,cat_1,34
1136,A,cat_5,5
1137,D,cat_5,6
1138,C,cat_1,79
1139,A,cat_3,92
1140,C,cat_4,78
1141,D,cat_6,6
1142,D,cat_7,60
1143,D,cat_6,17
1144,D,cat_6,70
1145,D,cat_8,17
1146,C,cat_1,0
1147,D,cat_1,4
1148,D,cat_8,84
1149,B,cat_7,49
1150,B,cat_3,77
1151,B,cat_4,32
1152,C,cat_3,18
1153,A,cat_3,52
1154,C,cat_4,48
1155,C,cat_1,54
1156,B,cat_2,75
1157,D,cat_8,92
1158,D,cat_3,30
1159,C,cat_3,44
1160,B,cat_7,97
1161,D,cat_7,93
1162,D,cat_5,4
1163,B,cat_1,59
1164,D,cat_5,64
1165,C,cat_7,1
1166,D,cat_3,70
1167,A,cat_5,59
1168,C,cat_1,9
1169,C,cat_7,83
1170,B,cat_1,39
1171,A,cat_8,75
1172,A,cat_2,53
1173,A,cat_3,5
1174,B,cat_5,90
1175,B,cat_1,54
1176,B,cat_2,44
1177,B,cat_3,17
1178,D,cat_4,20
1179,D,cat_7,67
1180,B,cat_3,77
1181,A,cat_2,49
1182,A,cat_1,31
1183,A,cat_6,16
1184,C,cat_1,77
1185,D,cat_5,20
1186,C,cat_6,63
1187,A,cat_7,23
1188,C,cat_6,68
1189,D,cat_2,50
1190,A,cat_6,56
1191,A,cat_6,33
1192,C,cat_8,94
1193,A,cat_4,46
1194,D,cat_6,56
1195,C,cat_8,52
1196,B,cat_4,25
1197,D,cat_1,6
1198,A,cat_8,10
1199,B,cat_2,88
1200,C,cat_5,93
1201,D,cat_6,32
1202,C,cat_6,47
1203,D,cat_2,95
1204,D,cat_8,62
1205,B,cat_6,37
1206,B,cat_6,51
1207,D,cat_2,11
1208,D,cat_3,24
1209,A,cat_3,29
1210,A,cat_2,48
1211,A,cat_2,48
1212,C,cat_4,48
1213,C,cat_5,53
1214,C,cat_7,69
1215,D,cat_3,93
1216,D,cat_2,63
1217,C,cat_7,55
1218,B,cat_5,41
1219,D,cat_1,34
1220,C,cat_6,94
1221,A,cat_7,24
1222,C,cat_1,13
1223,C,cat_5,12
1224,A,cat_1,15
1225,B,cat_6,78
1226,D,cat_5,53
1227,D,cat_3,61
1228,B,cat_7,84
1229,B,cat_3,28
1230,D,cat_4,84
1231,C,cat_3,20
1232,A,cat_5,42
1233,C,cat_2,92
1234,B,cat_4,90
1235,B,cat_8,4
1236,B,cat_7,7
1237,B,cat_8,79
1238,C,cat_4,24
1239,A,cat_7,2
1240,D,cat_6,93
1241,A,cat_8,75
1242,A,cat_7,13
1243,D,cat_8,71
1244,A,cat_7,23
1245,D,cat_1,13
1246,D,cat_7,2
1247,B,cat_7,13
